영화평점,영화감상평
10,cg떡칠 영환데도 전혀 안 어색함
9,물 배경이 시각적으로 즐거웠으나 3 4 편이 예정되어있는 만큼 스토리는 빌드업 때문에 약간 아쉬웠다! 그래도 정말 재밌음
8,스토리가 상대적으로 허전하다는 말에는 일부 동의. 하지만 그 허함을 채워줄 만큼 영상이 압도적이다. 인간의 몸 안에 내재된 토속적인 리듬을 깨워내는 그 압도적인 풍광. 액션의 양이 부족했다고 하는 평에는 동의하기 힘들다. 절대적 양에서는 1편이랑 비슷한 느낌인데..?
10,대존잼입니다 ㄹㅇ로다가
10,제임스 캐머런의 아바타를 영화관에서 볼 수 있는 세대인 것에 대해 감사한다.
6,"특수 효과가 우수하여 보는 즐거움은 있었으나, 스토리가 너무 단순하여 2시간 이상을 몰입하기는 솔직히 어려웠다."
8,그냥 저는 제스타일이 아닌듯 지루했어요
10,이러니저러니 해도 아바타만큼 괜찮은 작품도 없죠.
10,진짜 예쁜 판타지보는 느낌 그만큼 내용도 짱짱함
1,토할뻔했어요 ㅠㅠㅠ 머리아파여
10,큰 기대 하고 봤는데 그 기대치를 넘어서는 작품. 영화 티켓 10배였어도 안아까울듯
10,정말 재미있게 잘 봤습니다 cg라고 믿기지 않네요 꼭 아이맥스로 보세요!
10,3시간 순삭임. 4d강추
10,판도라는 여전히 아름답고 신비로움으로 가득 차있다.
10,무조건 아이맥스에서 보는게 돈 버는 거임. 이런 대작을 2만원에 볼 수 있다는 행운.
9,3시간 동안 시간 가는즐 몰랐네요~ 아이들도 넘 좋아했어요^^ 역시~
10,와 세시간동안 감탄만 햇다…
10,풍부한 상상력볼거리가 많아요.
2,스토리는 별로고영상미가 좋다고 해서 그거 믿고 봤는데영화관 선택을 잘해야 합니다.제가본 상영관은 집 근처cgv3d 레이져 인데스크린 작은건 그렇다 치는데흐릿한 화면어두운 화면.집이서 vod보는게 더 크고 선명함...
7,별 깊은 내용은 없으나 환상적인 CG
8,영상미가 훌륭한 영화였다.
8,스크린X로 봤습니다. 물 속 장면 나올 때 스노우쿨링 하는 것 같아요. 재밌습니다.
10,파야칸
10,영화관에서 꼭 한번쯤은 봐야하는 영화같네요 3d 아멕 시간이랑 돈이 아깝지않은 영화!
